family,model,MAE,RMSE,MAPE
GROCERY I,Naive Last Day,6883.3,8147.0,16.89
GROCERY I,7-Day Moving Average,6003.91,7190.75,14.94
GROCERY I,14-Day Moving Average,6107.23,7341.38,15.25
GROCERY I,7-Day Seasonal Naive,4994.13,6428.94,12.81
BEVERAGES,Naive Last Day,8105.47,10411.85,21.84
BEVERAGES,7-Day Moving Average,7519.92,9048.97,20.79
BEVERAGES,14-Day Moving Average,7589.56,9158.31,21.21
BEVERAGES,7-Day Seasonal Naive,4504.77,5600.4,12.56
PRODUCE,Naive Last Day,9275.04,10689.01,31.59
PRODUCE,7-Day Moving Average,5454.28,6454.24,18.64
PRODUCE,14-Day Moving Average,5512.23,6474.52,18.89
PRODUCE,7-Day Seasonal Naive,2320.95,3120.03,7.65
GROCERY I,"ARIMA(1,1,1)",7349.19,8283.55,19.14
BEVERAGES,"ARIMA(1,1,1)",9115.71,10313.16,26.41
PRODUCE,"ARIMA(1,1,1)",5823.32,6844.17,20.89
